Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
S Majid,599,22657,102,222.127451,0.126082359,73,145,16,21,18195,149,99,112,59.47745937,5952,160,122.5,113.3754824,7,73,32.3427047,8,57.10817849,23.52032484,-150.0993071,-1.581105297,208,0.121869783,27.07062424,0.715686275,35.12208835,150.5224236,65.41288888,0.593495935,60.38333333,62,146,599,40.99230769,60.38333333,61.78438985,61.8357682,599,249.2465753,134.8888431,37.82470785,104.2928569,12866,102.8834292,54.70318511,118,70,829.6043977,2.078464107,15587.04762,396.2190476,157.434897,8385.875,61,27,12,40.99230769,74.00680272,37,0
W Ricker,620,36489,100,364.89,0.1895434,56,187,15,19,31724,117,81,96,53.84246528,12865,150,290.78,160.0656115,8,58,30.45766796,1,78.50036997,8.594370906,-73.65233358,-1.322261953,195,0.090322581,32.95780645,0.56,34.68531469,191.0209413,142.5739574,0.424242424,51.75,51,188,620,36.46511628,51.75,50.92043285,50.9314862,620,566.5,178.1123241,58.85322581,80.94442538,28588,102.3327904,45.18900875,180,55,640.4908083,1.614516129,33655.04524,484.7261905,397.1874105,16676.33333,50,15,8,36.46511628,57,57,0
S Scully,625,35767,106,337.4245283,0.182834505,76,186,17,23,30458,157,105,122,64.47259999,7790,178,241.96,150.0666519,11,77,35.21814837,3.16227766,69.00774457,16.14896413,-101.8117259,-1.393141724,208,0.1216,41.03082264,0.716981132,24.57320228,189.121654,70.36598178,0.612903226,37.3952381,40,187,625,15.86813187,37.3952381,39.94288825,39.95747477,625,400.7631579,174.5222049,57.2272,109.2336944,24682,118.8949116,34.72719427,81,46,1549.368057,3.0928,8538.825,314.6869048,328.3153245,15375.67213,39,30,16,15.86813187,77.00653595,39,0
PR Halmos,627,16703,69,242.0724638,0.084839342,55,124,14,17,13172,108.5,78,90,49.80047567,3630,140,107.49,97.09788875,3,55,27.20239451,3.16227766,61.07884811,18.11051907,-167.5327785,-1.639571647,158,0.087719298,21.23442665,0.797101449,34.41616766,129.2400867,99.96807824,0.604395604,48.66666667,49,125,627,36.01190476,48.66666667,48.82018263,48.86206071,627,239.4909091,114.7693339,26.63955343,77.24959547,10147,82.58329129,44.50454765,112,55,315.0866237,1.598086124,13601.01667,489.35,101.3697852,6200.944444,48,16,7,36.01190476,56.00900901,28,0
Louis Nirenberg,628,167938,115,1460.330435,3.316376706,69,173,22,34,164345,302,64,628,178.9217794,12229,393,704.99,288.0937347,60,276,51.46392157,5,63.95634103,2.834974812,9.939382391,-2.936602661,393,0.109872611,160.4503185,0.6,33.66899767,409.8023914,242.7241232,0.56097561,127.75,246,628,628,34.25179856,127.75,62.96442454,62.9771106,628,2381.811594,405.3948692,267.4171975,144.3537322,159584,109.2565787,48.61454618,173,69,3887.272459,2.049363057,98609.86667,393.3166667,537.8456554,17533.91083,62,33,15,34.25179856,70,577,1
Yitang Zhang,628,118731,30,3957.7,0.601151357,169,325,27,49,86920,352,237,264,146.6229185,30401,466,377.21,251.6406168,37,170,59.56767911,17.34935157,49.29462398,24.05521726,-38.68324195,-2.123543585,570,0.26910828,1065.049841,5.633333333,31.09639613,344.5736496,82.57367081,4.333333333,100.582953,85,326,628,29.93815514,100.582953,84.89462051,84.94057154,628,514.3195266,294.8219802,189.0621019,243.9016195,58359,234.3608329,71.13050132,221,168,10458.4008,5.434713376,56706.20502,216.5560628,520.3599454,37358.60227,84,91,43,29.93815514,170,170,1
T Erdogan,634,20012,48,416.9166667,0.09941628,54,134,13,15,15415,108,74,85,51.92143152,5348,150,133.63,104.5370748,4,56,26.73059646,1.414213562,62.72736358,14.57125725,-133.8047172,-1.764845173,197,0.085173502,35.51025237,1.125,22.3911053,141.4637763,68.78468822,0.830769231,33.66666667,32,135,634,17.15294118,33.66666667,31.93111111,31.95197881,634,285.462963,124.1571585,31.56466877,76.36753237,12499,85.06468127,30.43450055,97,41,819.2044788,2.411671924,10882.99048,376.0357143,107.4782877,7940.541176,31,20,8,17.15294118,55,55,0
OD Duncan,635,38388,84,457,0.190105482,60,194,18,23,35433,164,82,100,48.50936643,12452,130,316.71,167.0449041,6,60,32.82441532,1,82.92435136,9.377930603,-82.16890695,-1.160345463,143,0.094488189,43.18110236,0.714285714,38.06193806,195.9285584,129.8110807,0.618556701,47.41666667,54,195,635,34.95145631,47.41666667,53.91969238,53.92682609,635,590.55,188.2365533,60.45354331,99.19677414,31833,107.8888317,45.79396662,154,60,694.4869987,1.576377953,24580.79048,499.8428571,724.8901523,19099.8,53,21,10,34.95145631,61.02479339,15.5,0
GH Golub,637,42462,43,987.4883721,0.20896345,79,203,20,29,37696,208,108,130,62.12077541,10296,164,291.18,169.6083724,16,79,38.14319358,4.242640687,74.26404785,14.69784749,-92.77471622,-1.261080625,194,0.124018838,122.4671607,1.837209302,35.36401968,206.0630971,121.1489785,1.144927536,46.86666667,59,204,637,33.91847826,46.86666667,58.90594156,58.92077622,637,477.164557,194.1545776,66.65934066,128.1873629,31455,126.6372773,51.76446448,135,59,1038.709047,2.233908948,19349.08333,331.4261905,537.2427125,19114.96154,58,31,16,33.91847826,80.00628931,40,0
GW Brindley,643,22086,81,272.6666667,0.106671947,78,137,16,21,15770,136,105,116,67.13030169,6232,193,96.77,106.1885116,3,79,32.23182743,9.055385138,43.85583628,27.54686227,-170.9408675,-2.249580361,248,0.121306376,33.07620529,0.962962963,39.96334661,148.6135929,85.97906722,0.821052632,53.53333333,53,138,643,35.16763006,53.53333333,52.79856973,52.8775695,643,202.1794872,125.5786606,34.34836703,102.9951455,9686,103.3731106,52.37437488,93,66,415.8334661,1.951788491,11815.18333,402.7166667,85.76215137,6513,52,18,8,35.16763006,79.00636943,40,0
ML Pollock,643,57352,47,1220.255319,0.277001246,93,237,21,32,51476,228,128,150,71.67850042,12452,190,379.72,191.8515051,13,93,42.20991115,6.633249581,74.67394337,15.08055517,-78.93709025,-1.241141581,240,0.144634526,176.4910493,1.978723404,26.8638814,239.482776,129.3225296,1.55,40.93333333,54,238,643,24.43220339,40.93333333,53.93897591,53.95102176,643,553.5053763,226.8832299,89.19440124,145.6159332,42827,148.4621164,47.66754572,124,90,1857.672101,3.461897356,16685.48333,245.4666667,781.3769568,26552.74,53,35,16,24.43220339,94.01604278,23.75,0
